freq[Hz];db:Mem2[Trc1]_S21;db:Mem3[Trc1]_S21;db:Mem4[Trc1]_S21;db:Mem5[Trc1]_S21;db:Mem6[Trc1]_S21;db:Mem7[Trc1]_S21;db:Mem8[Trc1]_S21;db:Mem9[Trc1]_S21;db:Mem10[Trc1]_S21;db:Mem11[Trc1]_S21;db:Mem12[Trc1]_S21;db:Mem13[Trc1]_S21;db:Mem14[Trc1]_S21;db:Mem15[Trc1]_S21;db:Mem16[Trc1]_S21;db:Mem17[Trc1]_S21;db:Mem18[Trc1]_S21;db:Mem19[Trc1]_S21;db:Mem20[Trc1]_S21;db:Mem21[Trc1]_S21;db:Mem22[Trc1]_S21;db:Mem23[Trc1]_S21;db:Mem24[Trc1]_S21;db:Mem25[Trc1]_S21;db:Mem26[Trc1]_S21;db:Mem27[Trc1]_S21;db:Mem28[Trc1]_S21;db:Mem29[Trc1]_S21;db:Mem30[Trc1]_S21;db:Mem31[Trc1]_S21;db:Mem32[Trc1]_S21;db:Mem33[Trc1]_S21;db:Mem34[Trc1]_S21;db:Mem35[Trc1]_S21;db:Mem36[Trc1]_S21;db:Mem37[Trc1]_S21;max [dB]
60000000,0;-14,40858457454637;-14,01081491984103;-13,58084848959766;-13,30944584318185;-13,0610584529744;-12,79565530118539;-12,64457846393736;-12,49334818936559;-12,4009879248972;-12,3777356134426;-12,34071862374406;-12,50926849951095;-12,57787053232023;-12,8273235121942;-12,95931879449464;-13,13171101701785;-13,45297588983058;-13,71162054329813;-13,94638181967282;-14,4538371122263;-14,91304790697681;-15,21928869685549;-16,02395886585683;-16,33580792808367;-16,97189191107392;-17,34618247921481;-17,92703156527292;-18,14577827729127;-18,68502531650137;-18,94316917362855;-19,3705194097309;-19,79529595237114;-20,23431135887466;-20,49524643359913;-21,0584257447141;-21,17473331226197;-12,34071862374406
62000000,0;-13,82133467237563;-13,50005758638908;-13,06727705770541;-12,81719023838954;-12,404918278009;-12,43455458651247;-12,27346499507313;-11,99030576439417;-11,95254900945627;-12,21316395551243;-12,01272672347145;-12,13265731598507;-12,34859913606364;-12,43806408302864;-12,84676679455012;-13,05778806304957;-13,09561828920146;-13,44932602738329;-13,83394846691445;-14,07854829799402;-14,69042426132077;-15,24734199218134;-16,0706828010835;-16,50810239661849;-17,17312691477053;-17,20463237135457;-18,09296332639452;-18,33941154172256;-18,7493340333471;-19,43440208111044;-19,7211620514196;-19,8773626290959;-20,53805973470769;-20,95517468352787;-21,33574774134767;-21,21672597590124;-11,95254900945627
64000000,0;-13,24454729853498;-12,81845560684148;-12,59724421939733;-12,22460783034306;-12,07628267924434;-11,888526284673;-11,75727814302077;-11,74659893720044;-11,67036020390706;-11,76354463097801;-11,84564362017542;-11,93166773706453;-12,0594806533715;-12,17371856489498;-12,67186242909061;-12,73046567480083;-13,23516964883413;-13,53596296636937;-13,7820684156107;-14,07778460065514;-14,66954788027965;-15,12917514567036;-15,8671945545198;-16,40141905080081;-17,10131982556478;-17,70707770862589;-17,84369113683014;-18,21152321497587;-18,66692324546282;-19,07001028530015;-19,96705276293332;-20,31741905105017;-20,02897975949561;-21,1169406274573;-21,14061870157137;-21,90396863448091;-11,67036020390706
66000000,0;-12,60794687910888;-12,25787675299611;-12,01102808243962;-11,7741571117825;-11,65864135899112;-11,44607600556879;-11,4380336146762;-11,32646992441972;-11,34578554510544;-11,43923785641546;-11,48335301729837;-11,70563944017061;-11,81949331527236;-12,03944950958969;-12,33762449817195;-12,5963459617497;-12,90204689925892;-13,28068880329417;-13,66351530567186;-14,01561421452134;-14,6263863034638;-15,01042169361557;-15,94346411629129;-16,41410114699171;-17,04004349313266;-17,66371043431135;-17,9795966494148;-18,2795837070512;-18,94173571800984;-19,37433176560494;-19,65160859510485;-20,12826793718766;-20,37254942833662;-20,82450987343145;-21,1119420210652;-21,1541435545539;-11,32646992441972
68000000,0;-12,06056968081539;-11,7640561846656;-11,54744367659219;-11,39721267551042;-11,19337104907578;-11,1455152875075;-11,06370147381742;-11,09691369813414;-11,10892209192699;-11,2304725426136;-11,39133882052813;-11,5580944884124;-11,70206084087547;-11,9095373458299;-12,21455660599584;-12,54066149582981;-12,8776574862098;-13,22647404919107;-13,53528543660828;-13,99292908160076;-14,68880240412116;-15,07820613575258;-16,16215739639622;-16,58398435321236;-17,22236475695598;-17,78765130272452;-18,13588992159641;-18,75447670750193;-19,12906409382304;-19,69456714142644;-19,92181873140263;-20,65503331891397;-20,515353978413;-21,12705343694577;-21,2951481321642;-22,22280021459014;-11,06370147381742
70000000,0;-11,28474259663502;-11,07776353663053;-10,90102073591299;-10,7614283239468;-10,6688647524823;-10,61224930483418;-10,58373787517021;-10,63394641504167;-10,62499626060813;-10,76934657141742;-11,03071793837712;-11,21342513466145;-11,4274696781289;-11,65386858691116;-11,98614049206515;-12,20926189816946;-12,67212707988902;-13,05976424013718;-13,28609471574268;-13,74357606306355;-14,64068331331291;-14,95502346292149;-15,7227300433242;-16,36501731718348;-17,34458456364728;-17,76934586051402;-17,86368322301132;-18,36026196204154;-19,11391717878374;-19,56117190172484;-19,33518554809286;-19,98267737716061;-20,54578941836902;-20,96198662711308;-20,63401908482095;-21,53239483637647;-10,58373787517021
72000000,0;-10,01190301687451;-10,55705299253708;-9,662528660272777;-9,524250170051685;-10,44116912232139;-9,62827633505087;-10,39517327019066;-9,386128082095862;-10,72696112636592;-10,93731031677787;-11,18330880139861;-11,21830297585028;-10,78579184892485;-10,33731508950424;-12,51707424084774;-12,84606756959703;-12,82152868938268;-13,89474601280337;-13,03533576199761;-12,23850428152458;-12,81953822371909;-16,4796767220236;-13,92118276079809;-17,93709843486946;-17,82463418139918;-18,82421413319054;-15,804700450072;-20,45157477742791;-16,78991352655;-20,79859676888884;-18,1350390456972;-19,58161988576824;-18,56022626768585;-20,54552167252315;-19,96228578551226;-21,63615180749301;-9,386128082095862
74000000,0;-9,344877657825876;-9,204772348947705;-9,276710550052377;-8,990547381805229;-9,302927499976093;-9,130866475988777;-9,03808159640677;-9,4242963418285;-9,264082199230026;-9,798451255669649;-9,840536797755933;-10,48165724733324;-10,05504181954044;-10,86199543009549;-11,34184645771995;-11,13326186402251;-11,31596012176084;-12,28718381219018;-12,93373509602388;-13,17584704819675;-13,85117791126035;-14,58898836829923;-15,70743976167837;-15,81713165528723;-16,54437256442557;-16,53451386947777;-17,51046179804986;-17,05710456498372;-17,90225657272637;-18,23943832890023;-19,04196275740333;-20,14521562338658;-20,08866571669621;-19,82525794363948;-19,32068551715127;-19,75324742917581;-8,990547381805229
76000000,0;-8,34136249024445;-8,361111291770388;-8,238774373221595;-8,342265373893317;-8,326079047661414;-8,59299779520559;-8,667129064961584;-8,767072089505778;-8,971558086573515;-9,05221743260957;-9,353738083229151;-9,576066928986917;-9,939194535120125;-10,1799500236174;-10,51969561938815;-10,77585510694009;-11,14579452985109;-11,65723782891766;-12,01637170840082;-12,21191384143086;-13,20417118115768;-13,70660846072483;-14,69136442591424;-15,12841218804001;-15,3859608711249;-16,23608539936986;-16,12210133873478;-17,05630669400567;-17,42775981811466;-17,61898490838969;-17,86528197280692;-18,40704481871092;-18,61273036889125;-18,92677787523242;-18,99764857920729;-19,44852175146729;-8,238774373221595
78000000,0;-7,116665355730204;-6,935395056460089;-7,045237785518107;-7,479986724086457;-7,765429128014319;-7,454471373293556;-7,648757574287714;-8,19822491403877;-8,557284370143172;-8,268778203617659;-8,097123050768973;-9,088789284631684;-9,048170551967614;-9,254344652937224;-9,805349354547738;-9,776352820795301;-10,16890499341136;-10,58409082883352;-11,29996648519298;-11,34233263632465;-12,3385559256856;-12,65284396864547;-13,72672387020562;-14,88459191739936;-14,49726635082248;-14,95569870070185;-15,25224888765217;-15,8559676643544;-16,33485047821346;-16,78860066960396;-16,96257737935798;-17,50417730832458;-17,26224699825952;-17,72231952172084;-17,86544570815203;-18,40912997445243;-6,935395056460089
